palavras,repetições
sexta,1
sequer,1
separar,1
ruim,1
senzala,1
sendo,1
senda,1
senso,1
aguanambis,1
seminua,1
sementes,1
sentado,1
sente,1
sentida,1
sentidas,1
sentimentos,1
semeava,1
seleção,1
ajuda,1
seguro,1
segurava,1
segundo,1
segunda,1
seguire,1
alaga,1
sapatos,1
santuário,1
sinais,1
sacudiu,1
sobem,1
sobra,1
orla,1
sobraram,1
sobrevivência,1
sobrevoava,1
soco,1
socorreu,1
alcança,1
socorro,1
sabendo,1
sabemos,1
alcançar,1
aldeia,1
rã,1
socouse,1
sofrer,1
sofri,1
sai,1
saindo,1
saio,1
sinas,1
sinal,1
sanidade,1
sanhaçus,1
sanhaçu,1
sangue,1
sangrento,1
sangrante,1
sangrando,1
sanatório,1
soares moreno,1
sintera,1
sambar,1
sambando,1
sinto,1
salário,1
salvar,1
situação,1
sal,1
sítio timbaúba,1
relevo,1
treta,1
torres,1
pronto,1
promoção,1
promovem,1
touceiras,1
prometo,1
prometeu,1
prometer,1
promessas,1
proibido,1
trabalhar,1
profundo,1
profunda,1
procurei,1
procurava,1
procurar,1
acorda,1
traduza,1
procuram,1
procuradas,1
torturada,1
prédios,1
tragou,1
tornaram,1
pêlo,1
almoço,1
alrededor,1
pálidos,1
puxou,1
puxa,1
putas,1
puskás,1
pureza,1
punhal,1
pulso,1
tomassem,1
puertas,1
pudera,1
tomba,1
tonta,1
tonto,1
psiu,1
próximo,1
tragada,1
procedeu,1
reis,1
altas,1
trava,1
precisa,1
precipício,1
traveco,1
precioso,1
praças,1
travesti,1
pratear,1
prateado,1
trazer,1
trazes,1
praias,1
traças,1
alturas,1
trem,1
alvo,1
prados,1
tremeu,1
trepadeiras,1
precisam,1
trapo,1
problema,1
precária,1
principia,1
princesa,1
primeiras,1
alta,1
trajeto,1
trampo,1
previsto,1
presunção,1
presta,1
tranquilo,1
presidente,1
presentes,1
presente,1
preparado,1
prepara,1
preocupado,1
prender,1
prejuízo,1
prefere,1
pôr,1
pôr do sol,1
põe,1
reaça,1
reacionário,1
raíz,1
tatá,1
razões,1
razão,1
teatro,1
teatro flores do lixo,1
raspei,1
raro,1
raptada,1
technic,1
raposa,1
tecnologia,1
ralé,1
teimam,1
raiz,1
teimo,1
raiva,1
telas,1
adubava,1
reboliço,1
acordo,1
recebo,1
regressar,1
registrou,1
rega,1
refizeram,1
refiro,1
tala,1
redimir,1
tamborim,1
tan,1
afastar,1
algum,1
recuerdos,1
recuar,1
tapera,1
reconhecer,1
reclamou,1
reclamei,1
reclama,1
tapuias,1
telefone,1
alguma,1
televisão,1
quiseram,1
timon,1
quebrado,1
tino,1
quatro graus,1
tira,1
acordou,1
tiro,1
quatorze,1
titela,1
almas,1
quarto,1
tititi,1
quarta,1
quarenta,1
tocam,1
almeidão,1
quanta gente,1
tocou,1
almirante tamandaré,1
tez,1
texano,1
terror,1
alienação,1
adolescente,1
tempos,1
tenta,1
quintais,1
quinta,1
quien,1
tentativa,1
querosene,1
quermesse,1
terrais,1
querida,1
tente,1
admito,1
terceira,1
termina,1
terminal,1
queixou,1
queixo,1
baú,1
manéo,1
origem,1
diferente,1
dezoito,1
dezessete,1
dezenove e doze,1
devia,1
deusas,1
babel,1
detrás,1
desvira,1
desprezar,1
despertar,1
despencou,1
desmilinguindo,1
desmentir,1
deslocado,1
desistir,1
desinfeta,1
desigual,1
desgrenhado,1
desgosto,1
desfilando,1
desespero,1
desesperado,1
desesperada,1
deserto,1
desentalou,1
desenrola,1
desenhava,1
dias,1
diferença,1
desembarcar,1
difícil,1
doirameu,1
doira,1
doente,1
dobrando,1
avião,1
avô,1
dividindo,1
dividido,1
divertir,1
diversão,1
distâncias,1
distância,1
distantes,1
distante,1
dissolviam,1
disserto,1
azuis,1
disputando,1
disparadas,1
disfarçatudo,1
disfarçar,1
discuto,1
diria,1
direções,1
direito,1
dinheiro,1
digam,1
desencontrados,1
bad vibes,1
domila quinze,1
deficiente,1
declara,1
decidi,1
debaixo dágua,1
debaixo,1
daquela,1
bailar,1
dança de rua,1
dando,1
danado,1
cê,1
bairro,1
cuíca,1
cuspindo,1
curva,1
cururu,1
curral das éguas,1
curei,1
curado,1
cumpadi,1
cumbuco,1
cuidar,1
cuidado,1
crônicas,1
cruzeiro do sul,1
crua,1
cristos,1
crista,1
defende,1
defronte,1
desejava,1
deitam,1
desejando,1
deseja,1
baderneiros,1
descontente,1
desconsoladamente,1
desces,1
descartes,1
bagueta,1
descalço,1
desavesse,1
desatou,1
desanima,1
desaba,1
derrubar,1
deram,1
dependo,1
dependente,1
densidade,1
dendê,1
demoratoda,1
demasia,1
deixe,1
deixamos,1
deixam,1
baianas,1
deitar,1
deitando,1
dolo,1
domingos,1
existem,1
espaio,1
esgoto,1
esgalamido,1
esfria,1
esforçou,1
escuto,1
escuridão,1
esculpiu,1
escrituras,1
escrevo,1
escrava sexual,1
escombros,1
escolho,1
escolha,1
errantes,1
errado,1
errada,1
erguida,1
eras,1
equipamentos,1
ausentase,1
enxuga,1
enxada,1
envolvidas,1
envolveu,1
envolver,1
envergonhados,1
envelheci,1
esmo,1
espalha,1
entorpecentes,1
espalhou,1
estátua de iracema,1
estádio,1
estudo,1
atribui,1
estrela do sertão,1
estrela do norte,1
estrela do mar,1
estreita,1
estouram,1
estimulando,1
estado,1
esquina do samba,1
esquecido,1
esquecia,1
esquecemos,1
esposo,1
espinhos,1
espinhas,1
espingarda,1
espiando,1
espetáculo,1
espertos,1
esperei,1
aumentou,1
espanto,1
espantado,1
espancada,1
entra,1
entornou,1
doméstica,1
emoldurada,1
embarcar,1
embaraço,1
embala,1
elétricos,1
elite,1
eduardos,1
edson queiroz,1
editores,1
d’américa,1
décima sexta,1
décima primeira,1
avisa,1
aviso,1
dulces,1
duas,1
droga,1
drible,1
doze,1
doutra,1
dourado,1
double xl,1
dou,1
dotô,1
dormindo,1
avistaram,1
avistou,1
dona maria,1
embriagado,1
emoção,1
entendo,1
emoções,1
entenda,1
ensinar,1
enredo,1
engravatado,1
engomou,1
automóvel,1
engasgou,1
engarrafado,1
engabelei,1
enfrentar,1
enfermo,1
enfeitar,1
encosta,1
encontro,1
encontrei,1
encontraram,1
avatar,1
encher,1
encaroçado,1
encarnado,1
encarar,1
encantou,1
encantamento,1
encantado,1
encanta,1
encaixaram,1
empurrado,1
criado,1
cremosa,1
crack,1
canela,1
canal,1
camuflado,1
campos,1
camisa de vênus,1
caminhão,1
caminho das índias,1
camaro,1
camaradas,1
cama,1
calçada,1
calça,1
calvário,1
caloteiro,1
calmaria,1
calmantes,1
calma,1
calha,1
calando,1
calado,1
calada,1
cajarana,1
cais,1
café,1
caen,1
barruada,1
caco,1
cachorro grande,1
candeias,1
canhão,1
cachaça,1
cansa,1
carteira,1
carroça,1
carros,1
carreira,1
carne,1
carnaúba,1
carnavais,1
carlão,1
cariris,1
carinhos,1
caridade,1
carente,1
caralho,1
barracos,1
capela,1
capataz,1
caos,1
canções,1
canção de bulbrax,1
barriga,1
barro,1
canteiros,1
cantei,1
cantando,1
canso,1
cansaço,1
cansar,1
cachorra,1
caboclos,1
coçando,1
bons amigos,1
boneco,1
bom jardim,1
bolacha,1
boi,1
boas,1
boa vista,1
blá blá blá,1
blues,1
bateria,1
bloco bate palmas,1
bicicleta,1
batizou,1
besos,1
berço da colonização,1
berlim,1
batom,1
belzebu,1
bella,1
batucar,1
batuque,1
beira da praia,1
baviera,1
beijar,1
beijada,1
beco sem saída,1
beck xl,1
beca xl,1
bonito,1
bora,1
cabocla,1
bordões,1
cabeças,1
cabelão,1
cabelos,1
caatingas,1
bússola,1
bênçãos,1
bêbados,1
burrinho,1
burguesia,1
buracos,1
bufo,1
bruxas,1
brotariam,1
brotar,1
baseado,1
brincadeira,1
brilho,1
brilhavam,1
brilhava,1
breve,1
braços,1
bravio,1
bastava,1
batalhão,1
br 116,1
boto,1
boteco,1
carão,1
carícias,1
casais,1
conquista,1
conjunto ceará,1
bamba,1
conduzem,1
concreto,1
conclui,1
concentra mas não saiò,1
comprou,1
compro,1
comprar,1
compositor,1
complicar,1
compasso,1
companhia,1
banco,1
começo,1
começa,1
comer,1
comemora,1
colorindo,1
colorido,1
colombinas,1
colocando,1
colo,1
colhe,1
colete,1
colar,1
coladas,1
conjunto palmeiras das artes,1
consegue,1
casal,1
conseguimos,1
cota,1
costa barros,1
corrói,1
corro,1
corrida,1
bala,1
bala de borracha,1
balaclava,1
cordões,1
cordapés,1
baladas,1
baladeira,1
coqueiro,1
convida,1
convencionais,1
controla,1
contribui,1
contornei,1
contemplando,1
conte,1
contas,1
balançar,1
construção,1
consome,1
balcones,1
consideração,1
consequentemente,1
cola,1
bandas,1
coco,1
cochilar,1
charuto,1
chapéu,1
chaminés,1
chamaram,1
chamando,1
cerva,1
barato,1
bares,1
certa,1
cerrados,1
cerol,1
centro,1
central,1
cena,1
cemitério,1
ceia,1
cegas,1
barquinhos,1
caímos,1
